vendor,city,scene_l1,scene_l2,operator,test_distance_km,test_duration_h,avg_speed_kmh,x1_平均RSRP,x1_平均SINR,x1_覆盖率1,x1_覆盖率2,x2_平均RSRP,x2_平均SINR,x2_覆盖率1,x2_覆盖率2
61f672c7283626788223681647752079,J,定点,停车场,电信,,0.441583333333333,,-91.6197431377487,7.35490509317552,0.983001762780156,0.983001762780156,,,,
61f672c7283626788223681647752079,J,定点,停车场,移动,,0.441419444444444,,-67.0069260798388,10.7806695472862,1.0,1.0,,,,
61f672c7283626788223681647752079,J,定点,咖啡厅,移动,,0.436608333333333,,-88.4167820548325,-0.389564871226807,0.527277762392689,0.527277762392689,,,,
61f672c7283626788223681647752079,J,定点,咖啡厅,电信,,0.436447222222222,,-81.5532891381948,9.01120681412545,0.998215196328404,0.998215196328404,,,,
61f672c7283626788223681647752079,J,定点,咖啡厅,移动,,0.436277777777778,,-78.8944012243336,5.38329175168984,1.0,1.0,,,,
7715b7194cb0b2308630075510656066,A,驶测,骑行道,移动,5.621,0.578,9.72491349480969,-73.4346153846154,11.8697076923077,0.998717948717949,0.998717948717949,-74.5451882352941,11.7007921568627,0.996078431372549,0.996078431372549
7715b7194cb0b2308630075510656066,A,驶测,骑行道,移动,5.621,0.578,9.72491349480969,-61.3104325699746,10.9165178117048,0.986005089058524,0.986005089058524,-62.943484496124,10.6110968992248,0.972868217054264,0.972868217054264
7715b7194cb0b2308630075510656066,A,驶测,骑行道,电信,5.621,0.578,9.72491349480969,-71.7919293820933,4.80647162673392,0.906683480453972,0.906683480453972,-70.0677403100775,5.57840310077519,0.895348837209302,0.895348837209302
7715b7194cb0b2308630075510656066,A,驶测,步行道,移动,6.099,0.567,10.7566137566138,-95.1255742725881,7.56974578866769,0.891271056661562,0.934150076569678,-95.8932490118577,6.4250790513834,0.853754940711462,0.909090909090909
7715b7194cb0b2308630075510656066,A,驶测,步行道,移动,6.099,0.567,10.7566137566138,-78.4179894179894,2.79814021164021,0.884920634920635,0.884920634920635,-79.1846312056738,2.11226241134752,0.843971631205674,0.843971631205674
7715b7194cb0b2308630075510656066,A,驶测,步行道,电信,6.099,0.567,10.7566137566138,-77.2744845360825,6.4968324742268,0.972938144329897,0.972938144329897,-77.2366785714286,6.40165,0.978571428571428,0.978571428571428
7715b7194cb0b2308630075510656066,A,驶测,步行道,移动,2.859,0.645,4.43255813953488,-66.3790322580645,14.7603686635945,0.998847926267281,0.998847926267281,-66.7607723577236,14.5673333333333,1.0,1.0
7715b7194cb0b2308630075510656066,A,驶测,步行道,移动,2.859,0.645,4.43255813953488,-63.6,11.3718052287582,0.989542483660131,0.989542483660131,-63.2020650406504,11.1127398373984,1.0,1.0
7715b7194cb0b2308630075510656066,A,驶测,步行道,电信,2.859,0.645,4.43255813953488,-70.1173708920188,8.31284976525822,0.990610328638498,0.990610328638498,-69.3979745762712,8.33931355932203,1.0,1.0
7715b7194cb0b2308630075510656066,A,定点,停车场,移动,,0.226,,-104.750798722045,9.08355591054313,0.677316293929712,0.97444089456869,,,,
7715b7194cb0b2308630075510656066,A,定点,停车场,移动,,0.226,,-90.8584905660377,0.935786163522012,1.0,1.0,,,,
7715b7194cb0b2308630075510656066,A,定点,停车场,电信,,0.226,,-102.200657894737,-3.74907236842105,0.539473684210526,0.5625,,,,
7715b7194cb0b2308630075510656066,A,定点,停车场,移动,,0.226,,-89.4335443037975,7.54485443037975,1.0,1.0,,,,
7715b7194cb0b2308630075510656066,A,定点,停车场,移动,,0.226,,-70.3091482649842,10.1185552050473,1.0,1.0,,,,
7715b7194cb0b2308630075510656066,A,定点,停车场,电信,,0.226,,-84.397212543554,2.19811846689895,0.989547038327526,0.989547038327526,,,,
7715b7194cb0b2308630075510656066,A,定点,咖啡厅,移动,,0.226,,-65.0345911949686,16.0661886792453,1.0,1.0,,,,
7715b7194cb0b2308630075510656066,A,定点,咖啡厅,移动,,0.226,,-60.6163522012579,14.3533176100629,1.0,1.0,,,,
7715b7194cb0b2308630075510656066,A,定点,咖啡厅,电信,,0.226,,-82.4811320754717,7.08979245283019,1.0,1.0,,,,
7715b7194cb0b2308630075510656066,A,定点,补给站,移动,,0.226,,-98.0379746835443,11.3013607594937,1.0,1.0,,,,
7715b7194cb0b2308630075510656066,A,定点,补给站,移动,,0.226,,-84.4556962025316,2.44468037974684,0.974683544303797,0.974683544303797,,,,
7715b7194cb0b2308630075510656066,A,定点,补给站,电信,,0.226,,-64.3312302839117,11.3946750788644,1.0,1.0,,,,
